try,processes,grid_size,iterations,concentration,setuptime,runtime,teardowntime
1,12,2000,500,0.216512,0.001949,1.902365,0.001155
2,12,2000,500,0.216512,0.001514,1.218646,0.000937
3,12,2000,500,0.216512,0.001684,1.157031,0.000837
1,12,2000,1000,0.095045,0.001515,2.307345,0.000957
2,12,2000,1000,0.095045,0.001765,2.397239,0.001161
3,12,2000,1000,0.095045,0.002127,2.423892,0.001200
1,12,2000,1500,0.058997,0.001947,3.746706,0.001209
2,12,2000,1500,0.058997,0.001656,3.791603,0.001173
3,12,2000,1500,0.058997,0.001655,3.724651,0.000903
1,12,4000,500,0.216512,0.008087,5.022333,0.003225
2,12,4000,500,0.216512,0.006992,5.163131,0.001858
3,12,4000,500,0.216512,0.005162,5.132290,0.003571
1,12,4000,1000,0.095045,0.006473,8.972159,0.004665
2,12,4000,1000,0.095045,0.007802,9.637366,0.002969
3,12,4000,1000,0.095045,0.005849,9.438360,0.004243
1,12,4000,1500,0.058997,0.006734,14.516864,0.004418
2,12,4000,1500,0.058997,0.007411,14.487981,0.005096
3,12,4000,1500,0.058997,0.007378,14.486325,0.003230
1,12,6000,500,0.216512,0.010504,13.620484,0.005803
2,12,6000,500,0.216512,0.011964,13.410493,0.004015
3,12,6000,500,0.216512,0.009674,13.346895,0.007255
1,12,6000,1000,0.095045,0.014678,25.959081,0.007272
1,12,2000,500,0.216992,0.001292,1.427874,0.000393
2,12,2000,500,0.216992,0.001055,1.148656,0.000779
3,12,2000,500,0.216992,0.001170,1.102725,0.000596
1,12,2000,1000,0.095160,0.001152,2.195677,0.000998
2,12,2000,1000,0.095160,0.001147,2.193981,0.000462
3,12,2000,1000,0.095160,0.001313,3.882331,0.000528
1,12,2000,1500,0.059042,0.001039,4.653379,0.000657
2,12,2000,1500,0.059042,0.001327,3.473120,0.000912
3,12,2000,1500,0.059042,0.001212,3.437406,0.000724
1,12,4000,500,0.216992,0.007855,4.597381,0.004708
2,12,4000,500,0.216992,0.007329,4.345432,0.003243
3,12,4000,500,0.216992,0.006425,4.531004,0.004409
1,12,4000,1000,0.095160,0.006577,9.223585,0.005103
2,12,4000,1000,0.095160,0.007087,8.725359,0.005010
3,12,4000,1000,0.095160,0.007188,8.693934,0.004589
1,12,4000,1500,0.059042,0.007047,12.935572,0.005186
2,12,4000,1500,0.059042,0.007438,12.943265,0.005872
3,12,4000,1500,0.059042,0.007507,12.944616,0.005904
1,12,6000,500,0.216992,0.018583,9.680655,0.008838
2,12,6000,500,0.216992,0.016761,9.709032,0.011450
3,12,6000,500,0.216992,0.018348,9.670324,0.011980
1,12,6000,1000,0.095160,0.017829,19.510494,0.012252
2,12,6000,1000,0.095160,0.017479,19.393854,0.010946
3,12,6000,1000,0.095160,0.017170,19.331300,0.011657
1,12,6000,1500,0.059042,0.018417,28.991538,0.012429
2,12,6000,1500,0.059042,0.018143,29.006534,0.011745
3,12,6000,1500,0.059042,0.018212,29.018842,0.011504
1,6,2000,500,0.216992,0.001900,1.086981,0.001139
2,6,2000,500,0.216992,0.001548,1.065734,0.001193
3,6,2000,500,0.216992,0.001717,1.072365,0.001231
1,6,2000,1000,0.095160,0.001726,2.137394,0.001026
2,6,2000,1000,0.095160,0.001870,2.136984,0.001562
3,6,2000,1000,0.095160,0.001840,2.134355,0.001491
1,6,2000,1500,0.059042,0.001732,3.211543,0.001292
2,6,2000,1500,0.059042,0.001696,3.195499,0.001297
3,6,2000,1500,0.059042,0.001789,3.186433,0.001407
1,6,4000,500,0.216992,0.008036,4.096898,0.004693
2,6,4000,500,0.216992,0.007983,4.097253,0.004936
3,6,4000,500,0.216992,0.007862,5.582729,0.005506
1,6,4000,1000,0.095160,0.008075,8.587541,0.005249
2,6,4000,1000,0.095160,0.007996,8.413717,0.005546
3,6,4000,1000,0.095160,0.007987,8.343380,0.005723
1,6,4000,1500,0.059042,0.008036,12.466907,0.005229
2,6,4000,1500,0.059042,0.008202,12.420899,0.005639
3,6,4000,1500,0.059042,0.007993,12.487991,0.005579
1,6,6000,500,0.216992,0.019459,9.315861,0.012349
2,6,6000,500,0.216992,0.019444,9.370601,0.011656
3,6,6000,500,0.216992,0.019327,9.397071,0.011381
1,6,6000,1000,0.095160,0.017966,18.682921,0.011390
2,6,6000,1000,0.095160,0.017611,18.708039,0.011233
3,6,6000,1000,0.095160,0.017910,18.652739,0.011355
1,6,6000,1500,0.059042,0.017418,28.096536,0.012010
2,6,6000,1500,0.059042,0.018375,27.971231,0.012059
3,6,6000,1500,0.059042,0.019261,28.085653,0.011035
1,2,2000,500,0.216992,0.005016,3.700655,0.002231
2,2,2000,500,0.216992,0.004837,3.752701,0.002243
3,2,2000,500,0.216992,0.004870,3.764658,0.002199
1,2,2000,1000,0.095160,0.004700,7.531019,0.002150
2,2,2000,1000,0.095160,0.004719,7.548859,0.002433
3,2,2000,1000,0.095160,0.004750,7.565917,0.002452
1,2,2000,1500,0.059042,0.004774,11.353251,0.002425
2,2,2000,1500,0.059042,0.004769,11.351835,0.002450
3,2,2000,1500,0.059042,0.004769,11.362360,0.002432
1,2,4000,500,0.216992,0.019153,15.108217,0.007835
2,2,4000,500,0.216992,0.019678,15.079420,0.008366
3,2,4000,500,0.216992,0.018973,15.091922,0.008183
1,2,4000,1000,0.095160,0.019065,30.182637,0.008251
2,2,4000,1000,0.095160,0.020145,30.194283,0.008292
3,2,4000,1000,0.095160,0.019830,30.195128,0.008448
1,2,4000,1500,0.059042,0.019340,45.288296,0.008317
2,2,4000,1500,0.059042,0.019222,45.294334,0.008297
3,2,4000,1500,0.059042,0.019988,45.289022,0.008243
1,2,6000,500,0.216992,0.042381,34.058736,0.017207
2,2,6000,500,0.216992,0.042411,34.055006,0.017660
3,2,6000,500,0.216992,0.042383,34.053073,0.017495
1,2,6000,1000,0.095160,0.042508,68.060872,0.017597
2,2,6000,1000,0.095160,0.042134,68.060194,0.017453
3,2,6000,1000,0.095160,0.042274,67.966775,0.017134
1,2,6000,1500,0.059042,0.040761,101.826360,0.017360
2,2,6000,1500,0.059042,0.041042,101.774027,0.017565
3,2,6000,1500,0.059042,0.040997,101.754157,0.016967
1,4,2000,500,0.216992,0.002167,1.140175,0.001182
2,4,2000,500,0.216992,0.002377,1.160483,0.001216
3,4,2000,500,0.216992,0.001990,1.153574,0.001376
1,4,2000,1000,0.095160,0.002187,2.303224,0.001223
2,4,2000,1000,0.095160,0.002112,2.314721,0.001316
3,4,2000,1000,0.095160,0.002259,2.312070,0.001117
1,4,2000,1500,0.059042,0.002108,3.485430,0.001325
2,4,2000,1500,0.059042,0.002224,3.485098,0.001096
3,4,2000,1500,0.059042,0.002127,3.460708,0.001431
1,4,4000,500,0.216992,0.009053,4.585451,0.005315
2,4,4000,500,0.216992,0.009232,4.907383,0.005428
3,4,4000,500,0.216992,0.009244,4.922880,0.005592
1,4,4000,1000,0.095160,0.009105,9.865475,0.005382
2,4,4000,1000,0.095160,0.009618,9.867037,0.005464
3,4,4000,1000,0.095160,0.009938,9.881110,0.005612
1,4,4000,1500,0.059042,0.009821,14.760927,0.005734
2,4,4000,1500,0.059042,0.009876,14.786180,0.005534
3,4,4000,1500,0.059042,0.009770,14.771402,0.005649
1,4,6000,500,0.216992,0.022069,10.976492,0.012297
2,4,6000,500,0.216992,0.022099,10.959997,0.011451
3,4,6000,500,0.216992,0.021829,10.922330,0.012034
1,4,6000,1000,0.095160,0.021968,21.880453,0.012216
2,4,6000,1000,0.095160,0.021136,21.932299,0.011387
3,4,6000,1000,0.095160,0.021161,21.903834,0.012027
1,4,6000,1500,0.059042,0.021667,33.079308,0.012089
2,4,6000,1500,0.059042,0.022138,32.996352,0.012354
3,4,6000,1500,0.059042,0.021987,32.869247,0.011717
1,8,2000,500,0.216992,0.001570,1.184361,0.000914
2,8,2000,500,0.216992,0.001297,1.194767,0.000867
3,8,2000,500,0.216992,0.001280,1.195546,0.000903
1,8,2000,1000,0.095160,0.001293,2.400638,0.001026
2,8,2000,1000,0.095160,0.001347,2.405896,0.001033
3,8,2000,1000,0.095160,0.001400,2.409512,0.000934
1,8,2000,1500,0.059042,0.001365,3.623501,0.000980
2,8,2000,1500,0.059042,0.001407,3.615732,0.000951
3,8,2000,1500,0.059042,0.001393,3.618676,0.000784
1,8,4000,500,0.216992,0.006951,5.238521,0.002981
2,8,4000,500,0.216992,0.006159,5.353446,0.003067
3,8,4000,500,0.216992,0.006445,5.360211,0.002974
1,8,4000,1000,0.095160,0.006367,10.714585,0.003153
2,8,4000,1000,0.095160,0.006304,10.720904,0.003865
3,8,4000,1000,0.095160,0.006352,10.729726,0.003606
1,8,4000,1500,0.059042,0.006144,16.086583,0.004193
2,8,4000,1500,0.059042,0.006362,16.093621,0.004347
3,8,4000,1500,0.059042,0.006214,16.098278,0.004470
1,8,6000,500,0.216992,0.014730,12.063595,0.007930
2,8,6000,500,0.216992,0.013890,12.049996,0.008380
3,8,6000,500,0.216992,0.014003,12.051253,0.008663
1,8,6000,1000,0.095160,0.014936,24.090817,0.008620
2,8,6000,1000,0.095160,0.013801,24.091486,0.008666
3,8,6000,1000,0.095160,0.015683,24.145628,0.008840
1,8,6000,1500,0.059042,0.013666,36.237637,0.009037
2,8,6000,1500,0.059042,0.015290,36.266514,0.008523
3,8,6000,1500,0.059042,0.015019,36.267120,0.007800
1,10,2000,500,0.216992,0.001501,1.115620,0.000759
2,10,2000,500,0.216992,0.001473,1.104110,0.000866
3,10,2000,500,0.216992,0.002182,1.109543,0.000852
1,10,2000,1000,0.095160,0.001397,2.210288,0.000774
2,10,2000,1000,0.095160,0.001566,2.207065,0.000843
3,10,2000,1000,0.095160,0.001469,2.206373,0.000851
1,10,2000,1500,0.059042,0.001493,3.275950,0.000587
2,10,2000,1500,0.059042,0.001400,3.304801,0.000874
3,10,2000,1500,0.059042,0.001525,3.316011,0.000822
1,10,4000,500,0.216992,0.007392,4.253362,0.003609
2,10,4000,500,0.216992,0.006251,4.395978,0.003878
3,10,4000,500,0.216992,0.006287,4.442190,0.003972
1,10,4000,1000,0.095160,0.006404,8.901330,0.004017
2,10,4000,1000,0.095160,0.006722,8.952058,0.004047
3,10,4000,1000,0.095160,0.006355,8.883817,0.003988
1,10,4000,1500,0.059042,0.006648,13.353205,0.004128
2,10,4000,1500,0.059042,0.006638,13.376439,0.004235
3,10,4000,1500,0.059042,0.006445,13.366907,0.003784
1,10,6000,500,0.216992,0.016902,9.996994,0.007347
2,10,6000,500,0.216992,0.014355,9.988256,0.007991
3,10,6000,500,0.216992,0.013802,9.987802,0.007258
1,10,6000,1000,0.095160,0.013657,20.045066,0.011112
2,10,6000,1000,0.095160,0.017361,20.487359,0.011255
3,10,6000,1000,0.095160,0.015922,20.196979,0.009292
1,10,6000,1500,0.059042,0.014119,30.613832,0.009173
2,10,6000,1500,0.059042,0.014210,30.400008,0.011751
3,10,6000,1500,0.059042,0.014401,30.726498,0.006993
