try,thread,grid_size,iterations,concentration,setuptime,runtime,teardowntime
0,4,400,200,0.485682,0.002098,0.015237,0.000211
1,4,400,200,0.485682,0.001441,0.014675,0.000078
2,4,400,200,0.485682,0.001404,0.014101,0.000061
0,4,400,400,0.274209,0.001443,0.028775,0.000066
1,4,400,400,0.274209,0.001416,0.028345,0.000059
2,4,400,400,0.274209,0.001403,0.028567,0.000068
0,4,400,600,0.175885,0.001386,0.042892,0.000062
1,4,400,600,0.175885,0.001369,0.042820,0.000102
2,4,400,600,0.175885,0.001438,0.042341,0.000062
0,4,400,800,0.124625,0.003368,0.056878,0.000055
1,4,400,800,0.124625,0.001393,0.056986,0.000068
2,4,400,800,0.124625,0.001447,0.058582,0.000085
0,4,400,1000,0.095045,0.001495,0.072607,0.000060
1,4,400,1000,0.095045,0.001458,0.071909,0.000107
2,4,400,1000,0.095045,0.001386,0.072451,0.000072
0,4,800,200,0.485682,0.004102,0.221376,0.001487
1,4,800,200,0.485682,0.004666,0.182630,0.001623
2,4,800,200,0.485682,0.005691,0.200855,0.001463
0,4,800,400,0.274209,0.004674,0.358248,0.001240
1,4,800,400,0.274209,0.003775,0.393132,0.001248
2,4,800,400,0.274209,0.003847,0.268283,0.001277
0,4,800,600,0.175885,0.004519,0.427518,0.000110
1,4,800,600,0.175885,0.014526,0.473040,0.001076
2,4,800,600,0.175885,0.003833,0.385773,0.001196
0,4,800,800,0.124625,0.003784,0.499775,0.001243
1,4,800,800,0.124625,0.003836,0.508952,0.001125
2,4,800,800,0.124625,0.015131,0.549406,0.001217
0,4,800,1000,0.095045,0.003793,0.666406,0.001110
1,4,800,1000,0.095045,0.003782,1.150783,0.001377
2,4,800,1000,0.095045,0.005987,0.920897,0.001188
0,4,1200,200,0.485682,0.008258,0.667808,0.003041
1,4,1200,200,0.485682,0.010485,0.714123,0.002838
2,4,1200,200,0.485682,0.007273,0.740461,0.002791
0,4,1200,400,0.274209,0.007498,1.340697,0.002867
1,4,1200,400,0.274209,0.007276,1.427461,0.002829
2,4,1200,400,0.274209,0.011642,1.398933,0.002984
0,4,1200,600,0.175885,0.007376,2.065566,0.002977
1,4,1200,600,0.175885,0.007723,2.257495,0.003108
2,4,1200,600,0.175885,0.007358,2.121001,0.003012
0,4,1200,800,0.124625,0.007894,2.771753,0.003041
1,4,1200,800,0.124625,0.007676,2.656783,0.003241
2,4,1200,800,0.124625,0.007890,2.610011,0.002926
0,4,1200,1000,0.095045,0.008113,3.291826,0.003876
1,4,1200,1000,0.095045,0.015375,3.246937,0.003046
2,4,1200,1000,0.095045,0.007250,3.164738,0.002977
0,4,1600,200,0.485682,0.012049,1.132991,0.004998
1,4,1600,200,0.485682,0.011686,1.131593,0.005039
2,4,1600,200,0.485682,0.011700,1.130021,0.004950
0,4,1600,400,0.274209,0.011594,2.256902,0.005174
1,4,1600,400,0.274209,0.011865,2.234477,0.005710
2,4,1600,400,0.274209,0.011502,2.439002,0.005163
0,4,1600,600,0.175885,0.011525,3.361753,0.005343
1,4,1600,600,0.175885,0.011737,3.369240,0.005174
2,4,1600,600,0.175885,0.011536,3.395879,0.005676
0,4,1600,800,0.124625,0.011702,4.877066,0.005495
1,4,1600,800,0.124625,0.011770,4.893043,0.005109
2,4,1600,800,0.124625,0.012062,4.972424,0.005263
0,4,1600,1000,0.095045,0.012563,6.002173,0.005706
1,4,1600,1000,0.095045,0.011851,5.697753,0.005361
2,4,1600,1000,0.095045,0.012087,5.918708,0.004980
0,4,2000,200,0.485682,0.016785,1.722715,0.008141
1,4,2000,200,0.485682,0.016191,1.732499,0.008110
2,4,2000,200,0.485682,0.016454,1.722201,0.008574
0,4,2000,400,0.274209,0.016530,3.447232,0.008064
1,4,2000,400,0.274209,0.016187,3.448142,0.007631
2,4,2000,400,0.274209,0.016583,3.457687,0.008376
0,4,2000,600,0.175885,0.016421,5.187192,0.007917
1,4,2000,600,0.175885,0.017860,5.304559,0.007946
2,4,2000,600,0.175885,0.018233,5.451703,0.008366
0,4,2000,800,0.124625,0.017681,7.301989,0.008303
1,4,2000,800,0.124625,0.016811,7.027587,0.007924
2,4,2000,800,0.124625,0.016541,7.121787,0.008543
0,4,2000,1000,0.095045,0.016768,8.668314,0.007678
1,4,2000,1000,0.095045,0.016848,8.857458,0.008442
2,4,2000,1000,0.095045,0.016795,8.825078,0.008888
0,8,400,200,0.485682,0.007955,0.011576,0.000231
1,8,400,200,0.485682,0.004856,0.010903,0.000138
2,8,400,200,0.485682,0.005337,0.011476,0.000115
0,8,400,400,0.274209,0.001057,0.021031,0.000165
1,8,400,400,0.274209,0.001660,0.021518,0.000124
2,8,400,400,0.274209,0.001112,0.020822,0.000129
0,8,400,600,0.175885,0.001057,0.031667,0.000153
1,8,400,600,0.175885,0.001025,0.031479,0.000136
2,8,400,600,0.175885,0.001008,0.031510,0.000128
0,8,400,800,0.124625,0.001067,0.042243,0.000143
1,8,400,800,0.124625,0.001034,0.042160,0.000150
2,8,400,800,0.124625,0.001040,0.042090,0.000129
0,8,400,1000,0.095045,0.001050,0.052658,0.000140
1,8,400,1000,0.095045,0.001033,0.052720,0.000156
2,8,400,1000,0.095045,0.000947,0.053034,0.000126
0,8,800,200,0.485682,0.003493,0.077175,0.001173
1,8,800,200,0.485682,0.004530,0.084536,0.000248
2,8,800,200,0.485682,0.003079,0.089455,0.000177
0,8,800,400,0.274209,0.003059,0.177961,0.000250
1,8,800,400,0.274209,0.003047,0.181060,0.000285
2,8,800,400,0.274209,0.003028,0.166471,0.000262
0,8,800,600,0.175885,0.003070,0.363535,0.000274
1,8,800,600,0.175885,0.009095,0.440905,0.000297
2,8,800,600,0.175885,0.005731,0.252888,0.000243
0,8,800,800,0.124625,0.003093,0.598379,0.000357
1,8,800,800,0.124625,0.013306,0.662356,0.000423
2,8,800,800,0.124625,0.003393,0.667501,0.000198
0,8,800,1000,0.095045,0.014032,0.591140,0.000292
1,8,800,1000,0.095045,0.003398,0.484757,0.000191
2,8,800,1000,0.095045,0.003074,0.430578,0.000219
0,8,1200,200,0.485682,0.007058,0.659703,0.002399
1,8,1200,200,0.485682,0.005823,0.665735,0.000752
2,8,1200,200,0.485682,0.006570,0.655345,0.000898
0,8,1200,400,0.274209,0.009997,1.310413,0.000715
1,8,1200,400,0.274209,0.006528,1.308995,0.000729
2,8,1200,400,0.274209,0.006481,1.309685,0.000701
0,8,1200,600,0.175885,0.006470,1.957418,0.000681
1,8,1200,600,0.175885,0.006439,1.950126,0.000680
2,8,1200,600,0.175885,0.006665,1.986078,0.000707
0,8,1200,800,0.124625,0.006604,2.596687,0.000734
1,8,1200,800,0.124625,0.006473,2.654906,0.000754
2,8,1200,800,0.124625,0.006507,2.641127,0.000763
0,8,1200,1000,0.095045,0.006587,3.265186,0.000756
1,8,1200,1000,0.095045,0.006544,3.429207,0.000883
2,8,1200,1000,0.095045,0.015023,3.500100,0.000798
0,8,1600,200,0.485682,0.010827,1.174349,0.001085
1,8,1600,200,0.485682,0.010598,1.179113,0.001024
2,8,1600,200,0.485682,0.010646,1.169170,0.001077
0,8,1600,400,0.274209,0.010814,2.330431,0.001063
1,8,1600,400,0.274209,0.010696,2.316603,0.001097
2,8,1600,400,0.274209,0.010615,2.317585,0.001088
0,8,1600,600,0.175885,0.010743,3.448294,0.001141
1,8,1600,600,0.175885,0.010943,3.540559,0.001106
2,8,1600,600,0.175885,0.010926,3.479757,0.001082
0,8,1600,800,0.124625,0.010976,4.675281,0.001217
1,8,1600,800,0.124625,0.012771,4.883900,0.001090
2,8,1600,800,0.124625,0.010715,4.955918,0.001465
0,8,1600,1000,0.095045,0.011280,5.876643,0.001090
1,8,1600,1000,0.095045,0.010756,5.734322,0.001104
2,8,1600,1000,0.095045,0.010702,5.771457,0.001109
0,8,2000,200,0.485682,0.013744,1.776973,0.001517
1,8,2000,200,0.485682,0.016009,1.790558,0.001504
2,8,2000,200,0.485682,0.015901,1.779152,0.001524
0,8,2000,400,0.274209,0.016337,3.564533,0.001534
1,8,2000,400,0.274209,0.016266,3.556297,0.001512
2,8,2000,400,0.274209,0.018139,3.556909,0.001500
0,8,2000,600,0.175885,0.016104,5.335837,0.001482
1,8,2000,600,0.175885,0.016190,5.332394,0.001494
2,8,2000,600,0.175885,0.016295,5.462967,0.001493
0,8,2000,800,0.124625,0.016138,7.187459,0.001567
1,8,2000,800,0.124625,0.024537,7.210795,0.001508
2,8,2000,800,0.124625,0.016093,7.182859,0.001513
0,8,2000,1000,0.095045,0.016263,8.958292,0.001535
1,8,2000,1000,0.095045,0.016563,8.959748,0.001499
2,8,2000,1000,0.095045,0.016111,8.975259,0.001478
0,12,400,200,0.485682,0.008555,0.008109,0.000564
1,12,400,200,0.485682,0.000712,0.008468,0.000971
2,12,400,200,0.485682,0.000770,0.008462,0.000301
0,12,400,400,0.274209,0.000718,0.016842,0.000410
1,12,400,400,0.274209,0.000771,0.016704,0.000515
2,12,400,400,0.274209,0.000837,0.039647,0.000948
0,12,400,600,0.175885,0.000775,0.026469,0.000584
1,12,400,600,0.175885,0.000856,0.025318,0.000524
2,12,400,600,0.175885,0.000843,0.025594,0.000559
0,12,400,800,0.124625,0.000858,0.034013,0.000380
1,12,400,800,0.124625,0.000889,0.035114,0.000495
2,12,400,800,0.124625,0.000900,0.037640,0.000645
0,12,400,1000,0.095045,0.000893,0.045424,0.000596
1,12,400,1000,0.095045,0.000910,0.043555,0.000429
2,12,400,1000,0.095045,0.000891,0.058162,0.001251
0,12,800,200,0.485682,0.004498,0.111170,0.005865
1,12,800,200,0.485682,0.003922,0.093193,0.001643
2,12,800,200,0.485682,0.003951,0.114373,0.001737
0,12,800,400,0.274209,0.003878,0.202794,0.001781
1,12,800,400,0.274209,0.003984,0.214040,0.001512
2,12,800,400,0.274209,0.003854,0.185165,0.001557
0,12,800,600,0.175885,0.003883,0.347711,0.001942
1,12,800,600,0.175885,0.004008,0.288612,0.001671
2,12,800,600,0.175885,0.004096,0.270885,0.001736
0,12,800,800,0.124625,0.004103,0.369220,0.001696
1,12,800,800,0.124625,0.003995,0.389417,0.005952
2,12,800,800,0.124625,0.014187,0.378688,0.001944
0,12,800,1000,0.095045,0.004089,0.455219,0.001586
1,12,800,1000,0.095045,0.004006,0.472366,0.001679
2,12,800,1000,0.095045,0.004010,0.469056,0.001683
0,12,1200,200,0.485682,0.008023,0.720418,0.003401
1,12,1200,200,0.485682,0.007237,0.730649,0.003288
2,12,1200,200,0.485682,0.007263,0.713482,0.003720
0,12,1200,400,0.274209,0.007489,1.638143,0.003696
1,12,1200,400,0.274209,0.007858,1.371556,0.007173
2,12,1200,400,0.274209,0.007116,1.709990,0.003404
0,12,1200,600,0.175885,0.007289,2.134132,0.003964
1,12,1200,600,0.175885,0.007391,2.047600,0.003493
2,12,1200,600,0.175885,0.007224,2.068353,0.003722
0,12,1200,800,0.124625,0.007389,2.832066,0.003842
1,12,1200,800,0.124625,0.007199,2.797893,0.003613
2,12,1200,800,0.124625,0.007269,2.737456,0.003544
0,12,1200,1000,0.095045,0.007174,3.543136,0.003663
1,12,1200,1000,0.095045,0.007581,3.470627,0.003603
2,12,1200,1000,0.095045,0.007864,3.608171,0.003649
0,12,1600,200,0.485682,0.012112,1.244065,0.006184
1,12,1600,200,0.485682,0.011667,1.313624,0.006050
2,12,1600,200,0.485682,0.011788,1.235164,0.006129
0,12,1600,400,0.274209,0.011741,2.433664,0.006035
1,12,1600,400,0.274209,0.011728,2.504572,0.006387
2,12,1600,400,0.274209,0.012676,2.442385,0.006046
0,12,1600,600,0.175885,0.011630,3.710974,0.006607
1,12,1600,600,0.175885,0.011941,3.686272,0.006289
2,12,1600,600,0.175885,0.011963,3.590129,0.006062
0,12,1600,800,0.124625,0.011790,4.787803,0.006191
1,12,1600,800,0.124625,0.011583,4.911444,0.006524
2,12,1600,800,0.124625,0.011743,4.825252,0.005972
0,12,1600,1000,0.095045,0.011714,6.324967,0.006273
1,12,1600,1000,0.095045,0.011731,6.057263,0.006781
2,12,1600,1000,0.095045,0.011706,6.080839,0.006554
0,12,2000,200,0.485682,0.017719,1.939555,0.008945
1,12,2000,200,0.485682,0.015912,1.847331,0.009309
2,12,2000,200,0.485682,0.016459,1.864264,0.009004
0,12,2000,400,0.274209,0.016125,3.775179,0.009237
1,12,2000,400,0.274209,0.016390,3.792684,0.029198
2,12,2000,400,0.274209,0.024473,3.836017,0.009505
0,12,2000,600,0.175885,0.016425,5.961289,0.009027
1,12,2000,600,0.175885,0.016893,5.672607,0.009572
2,12,2000,600,0.175885,0.016712,5.678788,0.009771
0,12,2000,800,0.124625,0.016451,7.701107,0.015799
1,12,2000,800,0.124625,0.016710,7.704137,0.009631
2,12,2000,800,0.124625,0.016654,7.525789,0.009560
0,12,2000,1000,0.095045,0.016507,9.432343,0.009583
1,12,2000,1000,0.095045,0.016675,9.472571,0.009217
2,12,2000,1000,0.095045,0.016858,9.396981,0.009450
